"sequence" "support"
"57" "<{서울대,연구,전국,협력}>" 0.1152
"58" "<{대학,연구,전국,협력}>" 0.1248
"59" "<{대학,서울대,연구,전국,협력}>" 0.1152
"60" "<{대학,서울대,전국,협력}>" 0.1328
"61" "<{연구,인하대,협력}>" 0.1248
"62" "<{서울대,인하대,협력}>" 0.1328
"63" "<{대학,인하대,협력}>" 0.1456
"64" "<{서울대,연구,인하대,협력}>" 0.1152
"65" "<{대학,연구,인하대,협력}>" 0.1248
"66" "<{대학,서울대,연구,인하대,협력}>" 0.1152
"67" "<{대학,서울대,인하대,협력}>" 0.1328
"68" "<{서울대,연구,협력}>" 0.1152
"69" "<{대학,연구,협력}>" 0.1248
"70" "<{대학,서울대,연구,협력}>" 0.1152
"71" "<{대학,서울대,협력}>" 0.1328
"72" "<{대학,한양대}>" 0.1632
"73" "<{서울대,한양대}>" 0.1472
"74" "<{센터,한양대}>" 0.112
"75" "<{연구,한양대}>" 0.1168
"76" "<{인하대,한양대}>" 0.1664
"77" "<{전국,한양대}>" 0.1504
"78" "<{중앙대,한양대}>" 0.1056
"79" "<{전국,중앙대,한양대}>" 0.1024
"80" "<{인하대,중앙대,한양대}>" 0.1056
"81" "<{서울대,중앙대,한양대}>" 0.1024
"82" "<{대학,중앙대,한양대}>" 0.1056
"83" "<{인하대,전국,중앙대,한양대}>" 0.1024
"84" "<{대학,전국,중앙대,한양대}>" 0.1024
"85" "<{대학,인하대,전국,중앙대,한양대}>" 0.1024
"86" "<{서울대,인하대,중앙대,한양대}>" 0.1024
"87" "<{대학,인하대,중앙대,한양대}>" 0.1056
"88" "<{대학,서울대,인하대,중앙대,한양대}>" 0.1024
"89" "<{대학,서울대,중앙대,한양대}>" 0.1024
"90" "<{인하대,전국,한양대}>" 0.1504
"91" "<{연구,전국,한양대}>" 0.1136
"92" "<{센터,전국,한양대}>" 0.112
"93" "<{서울대,전국,한양대}>" 0.144
"94" "<{대학,전국,한양대}>" 0.1504
"95" "<{연구,인하대,전국,한양대}>" 0.1136
"96" "<{센터,인하대,전국,한양대}>" 0.112
"97" "<{서울대,인하대,전국,한양대}>" 0.144
"98" "<{대학,인하대,전국,한양대}>" 0.1504
"99" "<{서울대,연구,인하대,전국,한양대}>" 0.1136
"100" "<{대학,연구,인하대,전국,한양대}>" 0.1136
"101" "<{대학,서울대,연구,인하대,전국,한양대}>" 0.1136
"102" "<{서울대,센터,인하대,전국,한양대}>" 0.1056
"103" "<{대학,센터,인하대,전국,한양대}>" 0.112
"104" "<{대학,서울대,센터,인하대,전국,한양대}>" 0.1056
"105" "<{대학,서울대,인하대,전국,한양대}>" 0.144
"106" "<{서울대,연구,전국,한양대}>" 0.1136
"107" "<{대학,연구,전국,한양대}>" 0.1136
"108" "<{대학,서울대,연구,전국,한양대}>" 0.1136
"109" "<{서울대,센터,전국,한양대}>" 0.1056
"110" "<{대학,센터,전국,한양대}>" 0.112
"111" "<{대학,서울대,센터,전국,한양대}>" 0.1056
"112" "<{대학,서울대,전국,한양대}>" 0.144
"113" "<{연구,인하대,한양대}>" 0.1168
"114" "<{센터,인하대,한양대}>" 0.112
"115" "<{서울대,인하대,한양대}>" 0.1472
"116" "<{대학,인하대,한양대}>" 0.1632
"117" "<{서울대,연구,인하대,한양대}>" 0.1168
"118" "<{대학,연구,인하대,한양대}>" 0.1168
"119" "<{대학,서울대,연구,인하대,한양대}>" 0.1168
"120" "<{서울대,센터,인하대,한양대}>" 0.1056
"121" "<{대학,센터,인하대,한양대}>" 0.112
"122" "<{대학,서울대,센터,인하대,한양대}>" 0.1056
"123" "<{대학,서울대,인하대,한양대}>" 0.1472
"124" "<{서울대,연구,한양대}>" 0.1168
"125" "<{대학,연구,한양대}>" 0.1168
"126" "<{대학,서울대,연구,한양대}>" 0.1168
"127" "<{서울대,센터,한양대}>" 0.1056
"128" "<{대학,센터,한양대}>" 0.112
"129" "<{대학,서울대,센터,한양대}>" 0.1056
"130" "<{대학,서울대,한양대}>" 0.1472
"131" "<{대학},{한국}>" 0.1184
"132" "<{대학,한국}>" 0.2224
"133" "<{서울대,한국}>" 0.2128
"134" "<{센터,한국}>" 0.168
"135" "<{연구,한국}>" 0.1104
"136" "<{인하,한국}>" 0.1024
"137" "<{인하대},{한국}>" 0.1376
"138" "<{인하대,한국}>" 0.224
"139" "<{전국},{한국}>" 0.1008
"140" "<{전국,한국}>" 0.2096
"141" "<{인하대,전국},{한국}>" 0.1008
"142" "<{대학,전국},{한국}>" 0.1008
"143" "<{대학,인하대,전국},{한국}>" 0.1008
"144" "<{대학,인하대},{한국}>" 0.1184
"145" "<{인하대},{전국,한국}>" 0.1296
"146" "<{대학},{전국,한국}>" 0.1152
"147" "<{인하대,전국,한국}>" 0.2096
"148" "<{연구,전국,한국}>" 0.1104
"149" "<{센터,전국,한국}>" 0.168
"150" "<{서울대,전국,한국}>" 0.2
"151" "<{대학,전국,한국}>" 0.2096
"152" "<{대학,인하대},{전국,한국}>" 0.1152
"153" "<{인하대},{인하대,전국,한국}>" 0.1296
"154" "<{대학},{인하대,전국,한국}>" 0.1152
"155" "<{연구,인하대,전국,한국}>" 0.1104
"156" "<{센터,인하대,전국,한국}>" 0.168
"157" "<{서울대,인하대,전국,한국}>" 0.2
"158" "<{대학,인하대,전국,한국}>" 0.2096
"159" "<{대학,인하대},{인하대,전국,한국}>" 0.1152
"160" "<{서울대,연구,인하대,전국,한국}>" 0.1056
"161" "<{대학,연구,인하대,전국,한국}>" 0.1104
"162" "<{대학,서울대,연구,인하대,전국,한국}>" 0.1056
"163" "<{인하대},{센터,인하대,전국,한국}>" 0.104
"164" "<{서울대,센터,인하대,전국,한국}>" 0.16
"165" "<{대학,센터,인하대,전국,한국}>" 0.168
"166" "<{대학,서울대,센터,인하대,전국,한국}>" 0.16
"167" "<{인하대},{대학,센터,인하대,전국,한국}>" 0.104
"168" "<{인하대},{서울대,인하대,전국,한국}>" 0.1184
"169" "<{대학},{서울대,인하대,전국,한국}>" 0.1056
"170" "<{대학,서울대,인하대,전국,한국}>" 0.2
"171" "<{대학,인하대},{서울대,인하대,전국,한국}>" 0.1056
"172" "<{인하대},{대학,서울대,인하대,전국,한국}>" 0.1184
"173" "<{대학},{대학,서울대,인하대,전국,한국}>" 0.1056
"174" "<{대학,인하대},{대학,서울대,인하대,전국,한국}>" 0.1056
"175" "<{인하대},{대학,인하대,전국,한국}>" 0.1296
"176" "<{대학},{대학,인하대,전국,한국}>" 0.1152
"177" "<{대학,인하대},{대학,인하대,전국,한국}>" 0.1152
"178" "<{서울대,연구,전국,한국}>" 0.1056
"179" "<{대학,연구,전국,한국}>" 0.1104
"180" "<{대학,서울대,연구,전국,한국}>" 0.1056
"181" "<{인하대},{센터,전국,한국}>" 0.104
"182" "<{서울대,센터,전국,한국}>" 0.16
"183" "<{대학,센터,전국,한국}>" 0.168
"184" "<{대학,서울대,센터,전국,한국}>" 0.16
"185" "<{인하대},{대학,센터,전국,한국}>" 0.104
"186" "<{인하대},{서울대,전국,한국}>" 0.1184
"187" "<{대학},{서울대,전국,한국}>" 0.1056
"188" "<{대학,서울대,전국,한국}>" 0.2
"189" "<{대학,인하대},{서울대,전국,한국}>" 0.1056
"190" "<{인하대},{대학,서울대,전국,한국}>" 0.1184
"191" "<{대학},{대학,서울대,전국,한국}>" 0.1056
"192" "<{대학,인하대},{대학,서울대,전국,한국}>" 0.1056
"193" "<{인하대},{대학,전국,한국}>" 0.1296
"194" "<{대학},{대학,전국,한국}>" 0.1152
"195" "<{대학,인하대},{대학,전국,한국}>" 0.1152
"196" "<{전국},{인하대,한국}>" 0.1008
"197" "<{인하대},{인하대,한국}>" 0.1376
"198" "<{대학},{인하대,한국}>" 0.1184
"199" "<{인하,인하대,한국}>" 0.1024
"200" "<{연구,인하대,한국}>" 0.1104
"201" "<{센터,인하대,한국}>" 0.168
"202" "<{서울대,인하대,한국}>" 0.2128
"203" "<{대학,인하대,한국}>" 0.2224
"204" "<{인하대,전국},{인하대,한국}>" 0.1008
"205" "<{대학,전국},{인하대,한국}>" 0.1008
"206" "<{대학,인하대,전국},{인하대,한국}>" 0.1008
"207" "<{대학,인하대},{인하대,한국}>" 0.1184
"208" "<{대학,인하,인하대,한국}>" 0.1024
"209" "<{서울대,연구,인하대,한국}>" 0.1056
"210" "<{대학,연구,인하대,한국}>" 0.1104
"211" "<{대학,서울대,연구,인하대,한국}>" 0.1056
"212" "<{인하대},{센터,인하대,한국}>" 0.104
"213" "<{서울대,센터,인하대,한국}>" 0.16
"214" "<{대학,센터,인하대,한국}>" 0.168
"215" "<{대학,서울대,센터,인하대,한국}>" 0.16
"216" "<{인하대},{대학,센터,인하대,한국}>" 0.104
"217" "<{인하대},{서울대,인하대,한국}>" 0.1248
"218" "<{대학},{서울대,인하대,한국}>" 0.1072
"219" "<{대학,서울대,인하대,한국}>" 0.2128
"220" "<{대학,인하대},{서울대,인하대,한국}>" 0.1072
"221" "<{인하대},{대학,서울대,인하대,한국}>" 0.1248
"222" "<{대학},{대학,서울대,인하대,한국}>" 0.1072
"223" "<{대학,인하대},{대학,서울대,인하대,한국}>" 0.1072
"224" "<{인하대},{대학,인하대,한국}>" 0.136
"225" "<{대학},{대학,인하대,한국}>" 0.1168
"226" "<{대학,인하대},{대학,인하대,한국}>" 0.1168
"227" "<{대학,인하,한국}>" 0.1024
"228" "<{서울대,연구,한국}>" 0.1056
"229" "<{대학,연구,한국}>" 0.1104
"230" "<{대학,서울대,연구,한국}>" 0.1056
"231" "<{인하대},{센터,한국}>" 0.104
"232" "<{서울대,센터,한국}>" 0.16
"233" "<{대학,센터,한국}>" 0.168
"234" "<{대학,서울대,센터,한국}>" 0.16
"235" "<{인하대},{대학,센터,한국}>" 0.104
"236" "<{인하대},{서울대,한국}>" 0.1248
"237" "<{대학},{서울대,한국}>" 0.1072
"238" "<{대학,서울대,한국}>" 0.2128
"239" "<{대학,인하대},{서울대,한국}>" 0.1072
"240" "<{인하대},{대학,서울대,한국}>" 0.1248
"241" "<{대학},{대학,서울대,한국}>" 0.1072
"242" "<{대학,인하대},{대학,서울대,한국}>" 0.1072
"243" "<{인하대},{대학,한국}>" 0.136
"244" "<{대학},{대학,한국}>" 0.1168
"245" "<{대학,인하대},{대학,한국}>" 0.1168
"246" "<{대학},{학교}>" 0.1632
"247" "<{대학,학교}>" 0.264
"248" "<{사람,학교}>" 0.1872
"249" "<{새끼,학교}>" 0.1136
"250" "<{서울대},{학교}>" 0.1072
"251" "<{서울대,학교}>" 0.1664
"252" "<{오늘},{학교}>" 0.1136
"253" "<{오늘,학교}>" 0.224
"254" "<{인하,학교}>" 0.1344
"255" "<{인하대},{학교}>" 0.2624
"256" "<{인하대,학교}>" 0.4544
"257" "<{전국},{학교}>" 0.1168
"258" "<{전국,학교}>" 0.184
"259" "<{학교},{학교}>" 0.112
"260" "<{인하대,전국},{학교}>" 0.1168
"261" "<{대학,전국},{학교}>" 0.112
"262" "<{대학,인하대,전국},{학교}>" 0.112
"263" "<{서울대,인하대},{학교}>" 0.1072
"264" "<{대학,인하대},{학교}>" 0.1552
"265" "<{대학,서울대,인하대},{학교}>" 0.104
"266" "<{대학,서울대},{학교}>" 0.104
"267" "<{인하대,전국,학교}>" 0.184
"268" "<{서울대,전국,학교}>" 0.1392
"269" "<{대학,전국,학교}>" 0.1648
"270" "<{서울대,인하대,전국,학교}>" 0.1392
"271" "<{대학,인하대,전국,학교}>" 0.1648
"272" "<{대학,서울대,인하대,전국,학교}>" 0.1296
"273" "<{대학,서울대,전국,학교}>" 0.1296
"274" "<{전국},{인하대,학교}>" 0.1024
"275" "<{인하대},{인하대,학교}>" 0.2336
"276" "<{대학},{인하대,학교}>" 0.1456
"277" "<{인하,인하대,학교}>" 0.128
"278" "<{오늘,인하대,학교}>" 0.1984
"279" "<{서울대,인하대,학교}>" 0.1664
"280" "<{새끼,인하대,학교}>" 0.1072
"281" "<{사람,인하대,학교}>" 0.1488
"282" "<{대학,인하대,학교}>" 0.256
"283" "<{인하대,전국},{인하대,학교}>" 0.1024
"284" "<{대학,인하대},{인하대,학교}>" 0.1376
"285" "<{대학,서울대,인하대,학교}>" 0.1568
"286" "<{인하대},{대학,인하대,학교}>" 0.1344
"287" "<{인하대},{오늘,학교}>" 0.1024
"288" "<{대학,서울대,학교}>" 0.1568
"289" "<{인하대},{대학,학교}>" 0.1392
"290" "<{대학,출신}>" 0.1904
"291" "<{서울대,출신}>" 0.1776
"292" "<{센터,출신}>" 0.1056
"293" "<{연구,출신}>" 0.1344
"294" "<{인하대},{출신}>" 0.1104
"295" "<{인하대,출신}>" 0.1952
"296" "<{전국,출신}>" 0.192
"297" "<{인하대},{전국,출신}>" 0.1072
"298" "<{인하대,전국,출신}>" 0.192
"299" "<{연구,전국,출신}>" 0.1344
"300" "<{센터,전국,출신}>" 0.1056
"301" "<{서울대,전국,출신}>" 0.1776
"302" "<{대학,전국,출신}>" 0.1872
"303" "<{인하대},{인하대,전국,출신}>" 0.1072
"304" "<{연구,인하대,전국,출신}>" 0.1344
"305" "<{센터,인하대,전국,출신}>" 0.1056
"306" "<{서울대,인하대,전국,출신}>" 0.1776
"307" "<{대학,인하대,전국,출신}>" 0.1872
"308" "<{서울대,연구,인하대,전국,출신}>" 0.1248
"309" "<{대학,연구,인하대,전국,출신}>" 0.1344
"310" "<{대학,서울대,연구,인하대,전국,출신}>" 0.1248
"311" "<{대학,센터,인하대,전국,출신}>" 0.1056
"312" "<{대학,서울대,인하대,전국,출신}>" 0.176
"313" "<{인하대},{대학,인하대,전국,출신}>" 0.104
"314" "<{서울대,연구,전국,출신}>" 0.1248
"315" "<{대학,연구,전국,출신}>" 0.1344
"316" "<{대학,서울대,연구,전국,출신}>" 0.1248
"317" "<{대학,센터,전국,출신}>" 0.1056
"318" "<{대학,서울대,전국,출신}>" 0.176
"319" "<{인하대},{대학,전국,출신}>" 0.104
"320" "<{인하대},{인하대,출신}>" 0.1104
"321" "<{연구,인하대,출신}>" 0.1344
"322" "<{센터,인하대,출신}>" 0.1056
"323" "<{서울대,인하대,출신}>" 0.1776
"324" "<{대학,인하대,출신}>" 0.1904
"325" "<{서울대,연구,인하대,출신}>" 0.1248
"326" "<{대학,연구,인하대,출신}>" 0.1344
"327" "<{대학,서울대,연구,인하대,출신}>" 0.1248
"328" "<{대학,센터,인하대,출신}>" 0.1056
"329" "<{대학,서울대,인하대,출신}>" 0.176
"330" "<{인하대},{대학,인하대,출신}>" 0.1056
"331" "<{서울대,연구,출신}>" 0.1248
"332" "<{대학,연구,출신}>" 0.1344
"333" "<{대학,서울대,연구,출신}>" 0.1248
"334" "<{대학,센터,출신}>" 0.1056
"335" "<{대학,서울대,출신}>" 0.176
"336" "<{인하대},{대학,출신}>" 0.1056
"337" "<{인하대,추천}>" 0.104
"338" "<{대학,중앙대}>" 0.1856
"339" "<{서울대,중앙대}>" 0.1744
"340" "<{센터,중앙대}>" 0.1296
"341" "<{연구,중앙대}>" 0.136
"342" "<{인하대},{중앙대}>" 0.1088
"343" "<{인하대,중앙대}>" 0.1968
"344" "<{전국,중앙대}>" 0.1776
"345" "<{인하대,전국,중앙대}>" 0.1776
"346" "<{연구,전국,중앙대}>" 0.1328
"347" "<{센터,전국,중앙대}>" 0.128
"348" "<{서울대,전국,중앙대}>" 0.168
"349" "<{대학,전국,중앙대}>" 0.1776
"350" "<{연구,인하대,전국,중앙대}>" 0.1328
"351" "<{센터,인하대,전국,중앙대}>" 0.128
"352" "<{서울대,인하대,전국,중앙대}>" 0.168
"353" "<{대학,인하대,전국,중앙대}>" 0.1776
"354" "<{센터,연구,인하대,전국,중앙대}>" 0.104
"355" "<{서울대,연구,인하대,전국,중앙대}>" 0.1296
"356" "<{대학,연구,인하대,전국,중앙대}>" 0.1328
"357" "<{서울대,센터,연구,인하대,전국,중앙대}>" 0.1008
"358" "<{대학,센터,연구,인하대,전국,중앙대}>" 0.104
"359" "<{대학,서울대,센터,연구,인하대,전국,중앙대}>" 0.1008
"360" "<{대학,서울대,연구,인하대,전국,중앙대}>" 0.1296
"361" "<{서울대,센터,인하대,전국,중앙대}>" 0.1216
"362" "<{대학,센터,인하대,전국,중앙대}>" 0.128
"363" "<{대학,서울대,센터,인하대,전국,중앙대}>" 0.1216
"364" "<{대학,서울대,인하대,전국,중앙대}>" 0.168
"365" "<{센터,연구,전국,중앙대}>" 0.104
"366" "<{서울대,연구,전국,중앙대}>" 0.1296
"367" "<{대학,연구,전국,중앙대}>" 0.1328
"368" "<{서울대,센터,연구,전국,중앙대}>" 0.1008
"369" "<{대학,센터,연구,전국,중앙대}>" 0.104
"370" "<{대학,서울대,센터,연구,전국,중앙대}>" 0.1008
"371" "<{대학,서울대,연구,전국,중앙대}>" 0.1296
"372" "<{서울대,센터,전국,중앙대}>" 0.1216
"373" "<{대학,센터,전국,중앙대}>" 0.128
"374" "<{대학,서울대,센터,전국,중앙대}>" 0.1216
"375" "<{대학,서울대,전국,중앙대}>" 0.168
"376" "<{인하대},{인하대,중앙대}>" 0.1088
"377" "<{연구,인하대,중앙대}>" 0.136
"378" "<{센터,인하대,중앙대}>" 0.1296
"379" "<{서울대,인하대,중앙대}>" 0.1744
"380" "<{대학,인하대,중앙대}>" 0.1856
"381" "<{센터,연구,인하대,중앙대}>" 0.104
"382" "<{서울대,연구,인하대,중앙대}>" 0.1328
"383" "<{대학,연구,인하대,중앙대}>" 0.136
"384" "<{서울대,센터,연구,인하대,중앙대}>" 0.1008
"385" "<{대학,센터,연구,인하대,중앙대}>" 0.104
"386" "<{대학,서울대,센터,연구,인하대,중앙대}>" 0.1008
"387" "<{대학,서울대,연구,인하대,중앙대}>" 0.1328
"388" "<{서울대,센터,인하대,중앙대}>" 0.1232
"389" "<{대학,센터,인하대,중앙대}>" 0.1296
"390" "<{대학,서울대,센터,인하대,중앙대}>" 0.1232
"391" "<{대학,서울대,인하대,중앙대}>" 0.1728
"392" "<{인하대},{대학,인하대,중앙대}>" 0.1024
"393" "<{센터,연구,중앙대}>" 0.104
"394" "<{서울대,연구,중앙대}>" 0.1328
"395" "<{대학,연구,중앙대}>" 0.136
"396" "<{서울대,센터,연구,중앙대}>" 0.1008
"397" "<{대학,센터,연구,중앙대}>" 0.104
"398" "<{대학,서울대,센터,연구,중앙대}>" 0.1008
"399" "<{대학,서울대,연구,중앙대}>" 0.1328
"400" "<{서울대,센터,중앙대}>" 0.1232
"401" "<{대학,센터,중앙대}>" 0.1296
"402" "<{대학,서울대,센터,중앙대}>" 0.1232
"403" "<{대학,서울대,중앙대}>" 0.1728
"404" "<{인하대},{대학,중앙대}>" 0.1024
"405" "<{인하대,정시}>" 0.1072
"406" "<{사람,정석}>" 0.1008
"407" "<{오늘,정석}>" 0.104
"408" "<{인하대},{정석}>" 0.1008
"409" "<{인하대,정석}>" 0.1632
"410" "<{공동,전국}>" 0.1168
"411" "<{대학},{전국}>" 0.2848
"412" "<{대학,전국}>" 0.576
"413" "<{사업,전국}>" 0.1696
"414" "<{서울대},{전국}>" 0.2272
"415" "<{서울대,전국}>" 0.4976
"416" "<{센터},{전국}>" 0.16
"417" "<{센터,전국}>" 0.3808
"418" "<{연구},{전국}>" 0.128
"419" "<{연구,전국}>" 0.3232
"420" "<{오늘},{전국}>" 0.1136
"421" "<{오늘,전국}>" 0.1184
"422" "<{이상,전국}>" 0.136
"423" "<{인하},{전국}>" 0.1216
"424" "<{인하,전국}>" 0.24
"425" "<{인하대},{전국}>" 0.3872
"426" "<{인하대,전국}>" 0.5936
"427" "<{전국},{전국}>" 0.2384
"428" "<{학교},{전국}>" 0.112
"429" "<{인하대,학교},{전국}>" 0.1024
"430" "<{인하대,전국},{전국}>" 0.2384
"431" "<{연구,전국},{전국}>" 0.1248
"432" "<{센터,전국},{전국}>" 0.1552
"433" "<{서울대,전국},{전국}>" 0.2064
"434" "<{대학,전국},{전국}>" 0.2288
"435" "<{연구,인하대,전국},{전국}>" 0.1248
"436" "<{센터,인하대,전국},{전국}>" 0.1552
"437" "<{서울대,인하대,전국},{전국}>" 0.2064
"438" "<{대학,인하대,전국},{전국}>" 0.2288
"439" "<{서울대,연구,인하대,전국},{전국}>" 0.1088
"440" "<{대학,연구,인하대,전국},{전국}>" 0.1232
"441" "<{대학,서울대,연구,인하대,전국},{전국}>" 0.1072
"442" "<{서울대,센터,인하대,전국},{전국}>" 0.1376
"443" "<{대학,센터,인하대,전국},{전국}>" 0.1536
"444" "<{대학,서울대,센터,인하대,전국},{전국}>" 0.1376
"445" "<{대학,서울대,인하대,전국},{전국}>" 0.2016
"446" "<{서울대,연구,전국},{전국}>" 0.1088
"447" "<{대학,연구,전국},{전국}>" 0.1232
"448" "<{대학,서울대,연구,전국},{전국}>" 0.1072
"449" "<{서울대,센터,전국},{전국}>" 0.1376
"450" "<{대학,센터,전국},{전국}>" 0.1536
"451" "<{대학,서울대,센터,전국},{전국}>" 0.1376
"452" "<{대학,서울대,전국},{전국}>" 0.2016
"453" "<{인하,인하대},{전국}>" 0.1216
"454" "<{연구,인하대},{전국}>" 0.128
"455" "<{센터,인하대},{전국}>" 0.16
"456" "<{서울대,인하대},{전국}>" 0.2272
"457" "<{대학,인하대},{전국}>" 0.2816
"458" "<{서울대,연구,인하대},{전국}>" 0.112
"459" "<{대학,연구,인하대},{전국}>" 0.1264
"460" "<{대학,서울대,연구,인하대},{전국}>" 0.1104
"461" "<{서울대,센터,인하대},{전국}>" 0.1408
"462" "<{대학,센터,인하대},{전국}>" 0.1568
"463" "<{대학,서울대,센터,인하대},{전국}>" 0.1408
"464" "<{대학,서울대,인하대},{전국}>" 0.2208
"465" "<{서울대,연구},{전국}>" 0.112
"466" "<{대학,연구},{전국}>" 0.1264
"467" "<{대학,서울대,연구},{전국}>" 0.1104
"468" "<{서울대,센터},{전국}>" 0.1408
"469" "<{대학,센터},{전국}>" 0.1568
"470" "<{대학,서울대,센터},{전국}>" 0.1408
"471" "<{대학,서울대},{전국}>" 0.2208
"472" "<{학교},{인하대,전국}>" 0.112
"473" "<{전국},{인하대,전국}>" 0.2384
"474" "<{인하대},{인하대,전국}>" 0.3872
"475" "<{인하},{인하대,전국}>" 0.1216
"476" "<{오늘},{인하대,전국}>" 0.1136
"477" "<{연구},{인하대,전국}>" 0.128
"478" "<{센터},{인하대,전국}>" 0.16
"479" "<{서울대},{인하대,전국}>" 0.2272
"480" "<{대학},{인하대,전국}>" 0.2848
"481" "<{인하,인하대,전국}>" 0.24
"482" "<{이상,인하대,전국}>" 0.136
"483" "<{오늘,인하대,전국}>" 0.1184
"484" "<{연구,인하대,전국}>" 0.3232
"485" "<{센터,인하대,전국}>" 0.3808
"486" "<{서울대,인하대,전국}>" 0.4976
"487" "<{사업,인하대,전국}>" 0.1696
"488" "<{대학,인하대,전국}>" 0.576
"489" "<{공동,인하대,전국}>" 0.1168
"490" "<{인하대,학교},{인하대,전국}>" 0.1024
"491" "<{인하대,전국},{인하대,전국}>" 0.2384
"492" "<{연구,전국},{인하대,전국}>" 0.1248
"493" "<{센터,전국},{인하대,전국}>" 0.1552
"494" "<{서울대,전국},{인하대,전국}>" 0.2064
"495" "<{대학,전국},{인하대,전국}>" 0.2288
"496" "<{연구,인하대,전국},{인하대,전국}>" 0.1248
"497" "<{센터,인하대,전국},{인하대,전국}>" 0.1552
"498" "<{서울대,인하대,전국},{인하대,전국}>" 0.2064
"499" "<{대학,인하대,전국},{인하대,전국}>" 0.2288
"500" "<{서울대,연구,인하대,전국},{인하대,전국}>" 0.1088
"501" "<{대학,연구,인하대,전국},{인하대,전국}>" 0.1232
"502" "<{대학,서울대,연구,인하대,전국},{인하대,전국}>" 0.1072
"503" "<{서울대,센터,인하대,전국},{인하대,전국}>" 0.1376
"504" "<{대학,센터,인하대,전국},{인하대,전국}>" 0.1536
"505" "<{대학,서울대,센터,인하대,전국},{인하대,전국}>" 0.1376
"506" "<{대학,서울대,인하대,전국},{인하대,전국}>" 0.2016
"507" "<{서울대,연구,전국},{인하대,전국}>" 0.1088
"508" "<{대학,연구,전국},{인하대,전국}>" 0.1232
"509" "<{대학,서울대,연구,전국},{인하대,전국}>" 0.1072
"510" "<{서울대,센터,전국},{인하대,전국}>" 0.1376
"511" "<{대학,센터,전국},{인하대,전국}>" 0.1536
"512" "<{대학,서울대,센터,전국},{인하대,전국}>" 0.1376
"513" "<{대학,서울대,전국},{인하대,전국}>" 0.2016
"514" "<{인하,인하대},{인하대,전국}>" 0.1216
"515" "<{연구,인하대},{인하대,전국}>" 0.128
"516" "<{센터,인하대},{인하대,전국}>" 0.16
"517" "<{서울대,인하대},{인하대,전국}>" 0.2272
"518" "<{대학,인하대},{인하대,전국}>" 0.2816
"519" "<{서울대,연구,인하대},{인하대,전국}>" 0.112
"520" "<{대학,연구,인하대},{인하대,전국}>" 0.1264
"521" "<{대학,서울대,연구,인하대},{인하대,전국}>" 0.1104
"522" "<{서울대,센터,인하대},{인하대,전국}>" 0.1408
"523" "<{대학,센터,인하대},{인하대,전국}>" 0.1568
"524" "<{대학,서울대,센터,인하대},{인하대,전국}>" 0.1408
"525" "<{대학,서울대,인하대},{인하대,전국}>" 0.2208
"526" "<{서울대,연구},{인하대,전국}>" 0.112
"527" "<{대학,연구},{인하대,전국}>" 0.1264
"528" "<{대학,서울대,연구},{인하대,전국}>" 0.1104
"529" "<{서울대,센터},{인하대,전국}>" 0.1408
"530" "<{대학,센터},{인하대,전국}>" 0.1568
"531" "<{대학,서울대,센터},{인하대,전국}>" 0.1408
"532" "<{대학,서울대},{인하대,전국}>" 0.2208
